Yritys,Yritys nimi,Tulosyksikkö,Tulosyksikkö nimi,TY hierarkia järj,TY hierarkia taso 1,TY hierarkia taso 2,TY hierarkia taso 3,TY hierarkia taso 4,TY hierarkia taso 5,TY hierarkia taso 6,TY hierarkia taso 7,Pääkirjatiliryhmä,Pääkirjatili,Pääkirjatili nimi,Kumppaniyhtiö,Kumppaniyhtiö nimi,TA 2014
1110,Päät.teko ja konserniohj.,111000,Kaupungin Yhteiset,9,Tampereen kaupunki,Päätöksenteko ja konserniohjaus,Konsernihallinto,Yhteiset,#,#,#,Myyntituotot,310000,Myyntitulot,1520,Hallintopalvelukeskus,"180 000,00"
1110,Päät.teko ja konserniohj.,111000,Kaupungin Yhteiset,9,Tampereen kaupunki,Päätöksenteko ja konserniohjaus,Konsernihallinto,Yhteiset,#,#,#,Tuet ja avustukset,333000,Korvaus työterveyshuollosta,4200,Muut sosiaaliturvarahastot,"6 000,00"
1110,Päät.teko ja konserniohj.,111000,Kaupungin Yhteiset,9,Tampereen kaupunki,Päätöksenteko ja konserniohjaus,Konsernihallinto,Yhteiset,#,#,#,Eläkekulut,423000,Varhaiseläkemenoperusteiset maksut,#,Kohdistamaton,"-200 000,00"
1110,Päät.teko ja konserniohj.,111000,Kaupungin Yhteiset,9,Tampereen kaupunki,Päätöksenteko ja konserniohjaus,Konsernihallinto,Yhteiset,#,#,#,Eläkekulut,424000,Eläkemenoperusteiset maksut,#,Kohdistamaton,"-2 400 000,00"
1110,Päät.teko ja konserniohj.,111000,Kaupungin Yhteiset,9,Tampereen kaupunki,Päätöksenteko ja konserniohjaus,Konsernihallinto,Yhteiset,#,#,#,Palvelujen ostot,452400,Osuus verotuskustannuksiin,#,Kohdistamaton,"-5 800 000,00"
1110,Päät.teko ja konserniohj.,111000,Kaupungin Yhteiset,9,Tampereen kaupunki,Päätöksenteko ja konserniohjaus,Konsernihallinto,Yhteiset,#,#,#,Palvelujen ostot,452500,Muut yhteistoimintaosuudet,#,Kohdistamaton,"-2 624 000,00"
1110,Päät.teko ja konserniohj.,111000,Kaupungin Yhteiset,9,Tampereen kaupunki,Päätöksenteko ja konserniohjaus,Konsernihallinto,Yhteiset,#,#,#,Avustukset,472000,Avustukset yhteisöille,#,Kohdistamaton,"-360 000,00"
1110,Päät.teko ja konserniohj.,111000,Kaupungin Yhteiset,9,Tampereen kaupunki,Päätöksenteko ja konserniohjaus,Konsernihallinto,Yhteiset,#,#,#,Avustukset,475000,Avustukset liikelaitoksille,1820,Tamp. Kaupunkiliikenne liikela,"-3 475 000,00"
1110,Päät.teko ja konserniohj.,111000,Kaupungin Yhteiset,9,Tampereen kaupunki,Päätöksenteko ja konserniohjaus,Konsernihallinto,Yhteiset,#,#,#,Muut toimintakulut,496000,Jäsenmaksut,#,Kohdistamaton,"-190 000,00"
1110,Päät.teko ja konserniohj.,111000,Kaupungin Yhteiset,9,Tampereen kaupunki,Päätöksenteko ja konserniohjaus,Konsernihallinto,Yhteiset,#,#,#,Muut toimintakulut,498000,Muut menot,1650,Tampereen Ateria liikelaitos,"-150 000,00"
1110,Päät.teko ja konserniohj.,111000,Kaupungin Yhteiset,9,Tampereen kaupunki,Päätöksenteko ja konserniohjaus,Konsernihallinto,Yhteiset,#,#,#,Muut toimintakulut,498000,Muut menot,#,Kohdistamaton,"-180 000,00"
1110,Päät.teko ja konserniohj.,111000,Kaupungin Yhteiset,9,Tampereen kaupunki,Päätöksenteko ja konserniohjaus,Konsernihallinto,Yhteiset,#,#,#,Verotulot,601000,Kunnan tulovero,#,Kohdistamaton,"752 200 000,00"
1110,Päät.teko ja konserniohj.,111000,Kaupungin Yhteiset,9,Tampereen kaupunki,Päätöksenteko ja konserniohjaus,Konsernihallinto,Yhteiset,#,#,#,Verotulot,602000,Kiinteistövero,#,Kohdistamaton,"62 500 000,00"
