,Director,Movie
0,Clint Eastwood,15:17 Pariisiin
1,Ryan Coogler,Black Panther 2D
2,Ryan Coogler,Black Panther 3D
3,Luca Guadagnino,Call Me by Your Name
4,Lee Unkrich,Coco (2D dub)
5,Lee Unkrich,Coco (2D orig)
6,Lee Unkrich,Coco (3D dub)
7,Lee Unkrich,Coco (3D orig)
8,Eli Roth,Death Wish
9,Sebastián Lelio,Fantastinen nainen
10,James Foley,Fifty Shades Freed
11,John Francis Daley,Game Night
12,Jordan Peele,Get Out
13,Michael Haneke,Happy End
14,Juuso Laatio,Hevi reissu
15,Craig Gillespie,"I, Tonya"
16,Kenneth Branagh,Idän pikajunan arvoitus
17,Fatih Akin,In the Fade - Kuin tyhjästä
18,Lenka Hellstedt,Kaikki oikein
19,Christian Tafdrup,Kauhea nainen
20,Ildikó Enyedi,Kosketuksissa
21,Simo Halinen,Kääntöpiste
22,Wes Ball,Labyrintti - Tappava lääke (2D)
23,Paul Thomas Anderson,Phantom Thread
24,Francis Lawrence,Red Sparrow
25,Felix Herngren,Solsidan
26,Rian Johnson,Star Wars: The Last Jedi (2D)
27,Joona Tena,Supermarsu
28,Cal Brunker,Suuri pähkinäryöstö 2 (2D dub)
29,Joe Wright,Synkin hetki
30,James Franco,The Disaster Artist
31,Michael Gracey,The Greatest Showman
32,Steven Spielberg,The Post
33,Guillermo del Toro,The Shape of Water
34,Martin McDonagh,"Three Billboards Outside Ebbing, Missouri"
35,Aku Louhimies,Tuntematon sotilas
36,Taru Mäkelä,Varasto 2
37,JP Siili,Veljeni vartija
38,Stephen Chbosky,Wonder
39,Marja Pyykkö,Yösyöttö
